# form	assertionUuid	failureType	violations	sha256(sorted concept ids)
# overall a91c088e1bacadd515a2c00a09db3d4613a37fb2f492c431718431240d647135
inferred	10e9c919-fb15-450e-a101-e488287b9555	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	11d8ff3a-80b1-40b5-a4a6-fd3268141085	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	12eec138-e3ff-4c1e-aa69-8acdb42ab4fe	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1301ad8f-8be1-469e-80a3-396bca848357	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1301ad8f-8be1-469e-80a3-396bca848357	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	14629706-f27b-4135-ab62-c342ac0cbfe5	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1686b1d4-5f4d-4ff4-afcb-519548a8e54d	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	17eec929-cccc-4713-a71d-4d9f422117c5	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	17eec929-cccc-4713-a71d-4d9f422117c5	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	190a570b-2c6d-b9e2-a4ba-c1a39e21518d	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1a311e16-c423-48e7-92f6-1ca6a0719601	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1a311e16-c423-48e7-92f6-1ca6a0719601	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1c9118ab-9a89-4f76-89e5-dc88f196d8fc	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1c9118ab-9a89-4f76-89e5-dc88f196d8fc	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1cc250da-c4a4-421e-a8ed-ba265e59f1a5	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1cd45064-3143-43bc-96bf-37afce2454d9	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1cd45064-3143-43bc-96bf-37afce2454d9	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1e2c1d24-9e76-411f-89ce-c7433b017702	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1f6f68d5-f3ea-4aa1-ab7b-5000fa7637f4	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1f6f68d5-f3ea-4aa1-ab7b-5000fa7637f4	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	1f73ff18-fed3-4e1b-96fc-fd5479f86477	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2003ae77-7a97-46a7-a6c9-f070672a3231	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	20ea3358-e436-4ac2-966e-d3a10f966142	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2237dbbb-5c14-4564-a159-7dee39162331	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2237dbbb-5c14-4564-a159-7dee39162331	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	244d3fc6-b622-4e8b-9e25-e19e2b8751c1	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	255dfc2b-c8ac-47cb-b62d-e5bee4ac6ff8	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2598cdb6-3391-4b54-8e92-41a5987dceda	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2598cdb6-3391-4b54-8e92-41a5987dceda	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	268b70c3-aa2d-45da-8d2f-dd89f29d82b2	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	27b235f6-3f3c-4d63-bb54-d3323967fbfb	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	27e71865-4354-427a-b1ba-38cdd45130d6	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	28878579-3558-4d04-9d19-4f9a65a8cd5b	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	28878579-3558-4d04-9d19-4f9a65a8cd5b	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2934c268-11de-46b7-97fc-72ec389933a0	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2934c268-11de-46b7-97fc-72ec389933a0	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	29eca2fc-ba2d-42a0-9ee1-99d97dc933ff	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	29eca2fc-ba2d-42a0-9ee1-99d97dc933ff	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2c46fdc1-d5c8-40ff-b705-4d18135c8117	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2c46fdc1-d5c8-40ff-b705-4d18135c8117	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2eb17bc1-e262-4bb9-b3b5-4518e53af22f	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2f974123-1e84-48d3-ab12-5baed516fdc8	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2f974123-1e84-48d3-ab12-5baed516fdc8	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2fb9a232-9417-46ef-b545-523cd8454ad4	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	2fb9a232-9417-46ef-b545-523cd8454ad4	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	31b3e9ce-3cff-44c0-b2ce-b6f0c2e3746d	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3385133c-0886-4c6f-9e6d-2f1d216c9f91	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	34edbd83-dcf0-45bb-b881-9c79c19293c4	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	351405be-c515-4997-a9cb-a55d83e66ecb	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
